username,comments,time
daphne_dhae,雖然昨天沒能到現場看表演，但依舊準時看直播。謝謝你們回來給我們天天都充滿Energy 。珍惜所有有Energy的所有時光🧡,7週
maylinhsieh0216,"昨天的白馬王子造型好帥氣 🧡
看到你的笑容，整個人都被治癒滿滿～",7週
mindy15051,謝謝你們昨天的演出🙌,7週
yunlianxie_1109,謝謝你們精彩的演出👍，在直播前看的超開心🥰你們超帥的😍,7週
iphone____lee,"昨天超棒的😍
依舊有我們治癒的笑容",7週
wanting09151029,"這個剪接效率太好了吧🧡
真的是很棒欸
昨天的表演好開心😍",7週
vicky_wen_824,"昨晚好棒👍🏻
能看到你們真好❤️",7週
bella2818,打勾勾~🤙🏻🤙🏻🤙🏻昨天也在線上一起參與了~🥰🧡,7週
annenergy7,"昨晚的演出太棒了
說好要一直雙向奔赴🧡",7週
a860822,好用心，謝謝ENERGY ❤️,7週
daisy6pink,昨天的你好棒❤️,7週
shuwei.ping,謝謝Energy 昨晚精彩的演出🥳,7週
ke__2323,維持運動，體態就是好看,7週
guiii9999,超讚❤️❤️❤️❤️辛苦了,7週
luyong0303,帥氣又勵志 整段話都太有感了👏,6週
jingya__1212,書偉哥辛苦你了！約定好10/31再見面囉！🧡我雙向奔赴的偶像,7週
guolingzhenguo,最喜歡看你All in了🔥帥一個帥一個吧～😍😍😍🧡🧡🧡,7週
a860822,EG加油 粉絲 挺你們🙌🙌🙌🙌🙌🙌🧡🧡,6週
su_chin0912,書偉哥我等你回來😢,6週
momo17513,只能說早早就去現場等候的粉絲真的太狂太熱情了！.待到壓軸結束、足足在那邊一整天的時間👏👏👏,7週
peiiiche,書書騎腳踏車包再緊我都能認出來的🔥🔥🔥🔥🔥🤘🤘🤘🤘🤘🤘,7週
chyuniu,加油水哥🫶🏻永遠支持你！,6週
_rapunzel.08,昨天是白馬王子👑辛苦了～謝謝你們來雲林😭🤍,7週
j.s.energy,嗨 白馬王子🤴🤍🐎,7週
zongzong0203_,雙向奔赴💞打勾勾🤙書偉哥總讓我暖心💗微笑😊,7週
nancy1210,加油,6週
zou.eva,"真的
運動很重要🔥👍👍",7週
lliinnaa0322,書偉哥的笑容真的很治癒人～辛苦了❤️❤️❤️,7週
yatin740506,你們明年1/10 1/11 台北小雞蛋演唱會也衝衝衝～,7週
judyp1015,謝謝昨天的演出🥰超棒的,7週
ellie.eg2024,"書偉衣服的細節好好看喔😍😍😍😍😍
襯托出貴公子氣息🧡",7週
claire_10.11,約定好要一直雙向奔赴☺️打勾勾🤙🏻🧡,7週
s1500132000,我們都在🧡,6週
asseg1104,😍😍😍,7週
jj1288891,謝謝你們昨晚超精彩的演出❤️❤️,7週
rainnyeshen,等你回來🧡,6週
leelee20035,我們都會陪你們一起甩掉負能量！,6週
livia000103,💗,7週
rrr784596,到底為什麼要逃兵啦😂😂😂,6週
joannaongxm,被抓到才承認?,6週
emieelee20,喜歡看你們全力以赴的表演 ～ 會珍惜與你們的時光 🫶,7週
yuenkuan.c,我们一起加油！ 永远支持Energy！缺一不可！🧡,6週
7ya7yayayaya,昨天的表演超棒！這段話也太有感～🧡,7週
johnsonchangmark,逃兵仔 終於承認了喔～,6週
meisling_0908,@chinya0829 所以我才會跟朋友說，怎麼可能那麼剛好Energy五位都身體有問題不用當兵，這比被雷打到、中彩票頭獎的機率還要小…😂😂😂 他在慈濟大愛電視演八點檔的好人人設也都沒了！😂😂😂,6週
akira_taiwan8989,"@chinya0829 好好面對，沒問題的👌
書偉橘子加油🧡",6週
johnsonchangmark,是不愛台灣嗎？幹嘛不想服兵役,6週
hnghsu7_1_2,@akira_taiwan8989 所以我才會跟朋友說，怎麼可能那麼剛好Energy五位都身體有問題不用當兵，這比被雷打到、中彩票頭獎的機率還要小…😂😂😂 他在慈濟大愛電視演八點檔的好人人設也都沒了！😂😂😂,6週
migo90493,被抓了啦 舒服嗎,6週
159mlb,"爲什麼不當兵？？
你在16蹲前真的不紅…",6週
ss91.06.18._.zxb,能運動一輩子，卻不能當兵😂能16蹲，還要詐騙免兵役😂真的用人生演喜劇😂😂😂,6週
frankiechen_saint,免服役怎麼了去當兵浪費時間浪費生命而且去學些沒用的東西,6週
johnsonchangmark,當逃兵好玩嗎,6週
energy.come.sg,@frankiechen_saint 所以我才會跟朋友說，怎麼可能那麼剛好Energy五位都身體有問題不用當兵，這比被雷打到、中彩票頭獎的機率還要小…😂😂😂 他在慈濟大愛電視演八點檔的好人人設也都沒了！😂😂😂,6週
oneforall408,打勾勾 🤙🏼 一起加油 🧡 我們都會好好的🥰,7週
fly08140814,逃兵加一😂,6週
neverlandbothblink,再見了書偉,6週
wabkidz,還好嗎？加油,6週
meisling_0908,这也值得问还好吗？他是被捉了才不得不承认的好吗？,6週
hankchiou,"一定會沒事的！
別怕！不管結果如何我永遠支持你💪",6週
all_for_bh,我只是來置板凳,6週
luyong0303,昨天剛表演完今天就有影片了 橘子效率也太高🤭😂,7週
all_for_bh,@all_for_bh 昨天橘子沒去🫢是助理,7週
nangongshiyanchenxiaoting,@luyong0303 我知道她沒去我是說影片應該是她剪的😂,7週
happywen96,😍😍帥讚啦,7週
skyskang2,昨晚熱瘋了 你的汗 超級誇張🤣,7週
_1yiihan_,EG最高,7週
tonywww5209,書偉昨天現場真的好穩😭,7週
xiaojiawen.xiao,一定要好好的哦水哥🥹🙏说好的下个月见呢！！！,6週
ken_chen1818,😢,6週
linpohann,"Energy書偉坦承逃兵花了15萬偽造地中海貧血證明
https://www.setn.com/m/ampnews.aspx?NewsID=1738777",6週
iamcrazylion,置板凳,6週
johnsonchangmark,沒事的，總有解決的時候,6週
kuilingkao,所以我才會跟朋友說，怎麼可能那麼剛好Energy五位都身體有問題不用當兵，這比被雷打到、中彩票頭獎的機率還要小…😂😂😂 他在慈濟大愛電視演八點檔的好人人設也都沒了！😂😂😂,6週
fub074,"很明顯的有人想搞事跟製造混亂, 除了坦然面對別無他法, 上銬太誇張了吧? 是殺人放火還是有逃亡之虞? 詐騙卻永遠抓不到? EG作品很好很棒, 我依然會繼續支持Energy",6週
blueboyisting,@kuilingkao 法盲？,6週
huang_0904,你馬上去當兵,6週
nash02.15,👍🏻👍🏻👍🏻,6週
